date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:11	9511/9511	---M-Z	200	added ('OK')	text/html	etag:W/%22a85a82a430d1c0e13079b99bf92b3fbc%22	https://site152010.nicepage.io/Blog.html	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Blog.html	(from https://site152010.nicepage.io/)
21:53:11	13537/13537	---M-Z	200	added ('OK')	text/html	etag:W/%22708bf148ebc786f340e8fe82cc80d0c8%22	https://site152010.nicepage.io/Contact.html	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Contact.html	(from https://site152010.nicepage.io/)
21:53:11	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://site152010.nicepage.io/)
21:53:11	159230/159230	---M--	200	added ('OK')	image/png	etag:%22d19c5b5e31c1c9d572a8a6dd687144c4%22	https://assets.nicepagecdn.com/48850343/5499102/images/imageedit_1_5558140788.png	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/assets.nicepagecdn.com/48850343/5499102/images/imageedit_1_5558140788.png	(from https://site152010.nicepage.io/)
21:53:12	465717/465717	---M--	200	added ('OK')	image/jpeg	etag:%223ed9aeeb561e4f9dabfea776afb851b6%22	https://assets.nicepagecdn.com/48850343/5499102/images/dataog.jpg	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/assets.nicepagecdn.com/48850343/5499102/images/dataog.jpg	(from https://site152010.nicepage.io/)
21:53:12	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2030%20Jul%202023%2020:53:14%20GMT	https://fonts.googleapis.com/robots.txt		(from https://site152010.nicepage.io/)
21:53:12	2364/2364	---M-Z	200	added ('OK')	text/css	etag:W/%2281bf0680793e0b26c162e3dad140cd80%22	https://site152010.nicepage.io/About-Me.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/About-Me.css	(from https://site152010.nicepage.io/About-Me.html)
21:53:13	12925/12925	---M-Z	200	added ('OK')	text/css	etag:W/%22119254c5471138212a25c4dc9d90ebcc%22	https://site152010.nicepage.io/Projects.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Projects.css	(from https://site152010.nicepage.io/Projects.html)
21:53:13	3807/3807	---MC-	200	added ('OK')	text/css	date:Sun,%2030%20Jul%202023%2020:53:15%20GMT	https://fonts.googleapis.com/css?family=Albert+Sans:100,100i,200,200i,300,300i,400,400i,500,500i,600,600i,700,700i,800,800i,900,900i	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/fonts.googleapis.com/css3bc1.css	(from https://site152010.nicepage.io/Projects.html)
21:53:13	957/957	---M-Z	200	added ('OK')	text/css	etag:W/%221e54f5a700d35f8d2f24d4289ac9a778%22	https://site152010.nicepage.io/Blog.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Blog.css	(from https://site152010.nicepage.io/Blog.html)
21:53:14	8219/8219	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22e4b15813ffdae21168034cb49446aab8%22	https://site152010.nicepage.io/blog/post-5.html	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/blog/post-5.html	(from https://site152010.nicepage.io/Blog.html)
21:53:14	28523/28523	---M--	200	added ('OK')	image/jpeg	etag:%221e68912ce811b4064017a566bbc5073c%22	https://assets.nicepagecdn.com/48850343/5499102/images/8ad73f3c.jpeg	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/assets.nicepagecdn.com/48850343/5499102/images/8ad73f3c.jpg	(from https://site152010.nicepage.io/Blog.html)
21:53:14	591/591	---M-Z	200	added ('OK')	text/css	etag:W/%22a5fd50d7134ad69304ef44685bf57ef8%22	https://site152010.nicepage.io/Contact.css	C:/Users/hayat/OneDrive/Desktop/My%20Websites/Portfolio1/site152010.nicepage.io/Contact.css	(from https://site152010.nicepage.io/Contact.html)
